state,state_id,year,beds_per_1000,total_beds
NSW,0,2019,2.58,20722
NSW,0,2020,2.56,20787
NSW,0,2021,2.55,20623
NSW,0,2022,2.59,21207
NSW,0,2023,2.54,21238
VIC,1,2019,2.29,14949
VIC,1,2020,2.25,14913
VIC,1,2021,2.27,14871
VIC,1,2022,2.32,15380
VIC,1,2023,2.33,15856
QLD,2,2019,2.53,12889
QLD,2,2020,2.52,13032
QLD,2,2021,2.52,13142
QLD,2,2022,2.51,13344
QLD,2,2023,2.57,14021
WA,3,2019,2.27,6034
WA,3,2020,2.30,6243
WA,3,2021,2.31,6356
WA,3,2022,2.39,6676
WA,3,2023,2.38,6871
SA,4,2019,2.56,4532
SA,4,2020,2.52,4514
SA,4,2021,2.51,4517
SA,4,2022,2.46,4493
SA,4,2023,2.79,5180
TAS,5,2019,2.69,1472
TAS,5,2020,2.84,1583
TAS,5,2021,2.92,1656
TAS,5,2022,2.92,1671
TAS,5,2023,2.98,1712
ACT,6,2019,2.64,1151
ACT,6,2020,2.67,1189
ACT,6,2021,2.67,1207
ACT,6,2022,2.67,1233
ACT,6,2023,2.85,1345
NT,7,2019,3.96,977
NT,7,2020,4.33,1072
NT,7,2021,4.32,1072
NT,7,2022,4.13,1046
NT,7,2023,4.10,1057
