Entity,Code,Year,Health expenditure per capita - Total
Australia,AUS,1971,1067.417
Australia,AUS,1972,1097.049
Australia,AUS,1973,1152.993
Australia,AUS,1974,1280.352
Australia,AUS,1975,1441.838
Australia,AUS,1976,1481.367
Australia,AUS,1977,1541.802
Australia,AUS,1978,1548.873
Australia,AUS,1979,1550.157
Australia,AUS,1980,1575.14
Australia,AUS,1981,1629.963
Australia,AUS,1982,1628.903
Australia,AUS,1983,1677.804
Australia,AUS,1984,1713.645
Australia,AUS,1985,1760.056
Australia,AUS,1986,1820.644
Australia,AUS,1987,1857.86
Australia,AUS,1988,1931.024
Australia,AUS,1989,1974.337
Australia,AUS,1990,2009.444
Australia,AUS,1991,2056.857
Australia,AUS,1992,2117.668
Australia,AUS,1993,2173.138
Australia,AUS,1994,2255.329
Australia,AUS,1995,2333.961
Australia,AUS,1996,2440.31
Australia,AUS,1997,2526.125
Australia,AUS,1998,2660.918
Australia,AUS,1999,2785.538
Australia,AUS,2000,2917.471
Australia,AUS,2001,3039.122
Australia,AUS,2002,3180.573
Australia,AUS,2003,3332.624
Australia,AUS,2004,3548.175
Australia,AUS,2005,3612.7
Australia,AUS,2006,3749.335
Australia,AUS,2007,3895.468
Australia,AUS,2008,4052.738
Australia,AUS,2009,4138.789
Australia,AUS,2010,4271.338
Australia,AUS,2011,4409.157
Australia,AUS,2012,4408.33
Australia,AUS,2013,4455.309
Australia,AUS,2014,4945.727
Australia,AUS,2015,5075.413
Australia,AUS,2016,5225.767
Australia,AUS,2017,5321.048
Australia,AUS,2018,5426.781
Australia,AUS,2019,5435.483
Australia,AUS,2020,5819.048
Australia,AUS,2021,6188.72
Australia,AUS,2022,5964.79
Australia,AUS,2023,5778.409
Australia,AUS,2024,5991.19
