Entity,Code,Year,"Hospital beds (per 1,000 people)"
Australia,AUS,1960,11.2
Australia,AUS,1961,11.3
Australia,AUS,1962,11.4
Australia,AUS,1963,11.7
Australia,AUS,1964,11.8
Australia,AUS,1965,11.9
Australia,AUS,1966,11.8
Australia,AUS,1967,11.8
Australia,AUS,1968,11.8
Australia,AUS,1969,11.7
Australia,AUS,1970,11.7
Australia,AUS,1971,11.6
Australia,AUS,1972,11.8
Australia,AUS,1973,11.8
Australia,AUS,1974,12
Australia,AUS,1975,11.9
Australia,AUS,1976,11.9
Australia,AUS,1977,12.1
Australia,AUS,1978,12.1
Australia,AUS,1979,12.2
Australia,AUS,1980,12.3
Australia,AUS,1981,12.2
Australia,AUS,1982,12.1
Australia,AUS,1983,11.9
Australia,AUS,1984,11.7
Australia,AUS,1985,10.9
Australia,AUS,1987,10.5
Australia,AUS,1989,9.8
Australia,AUS,1991,9.2
Australia,AUS,1992,8.9
Australia,AUS,1993,8.9
Australia,AUS,1994,8.7
Australia,AUS,1995,8.7
Australia,AUS,1996,8.5
Australia,AUS,1997,8.3
Australia,AUS,1998,8.2
Australia,AUS,1999,7.9
Australia,AUS,2000,4.02
Australia,AUS,2001,3.94
Australia,AUS,2002,3.91
Australia,AUS,2003,3.95
Australia,AUS,2004,3.97
Australia,AUS,2005,3.88
Australia,AUS,2006,3.9
Australia,AUS,2008,3.8
Australia,AUS,2009,3.76
Australia,AUS,2010,3.76
Australia,AUS,2011,3.76
Australia,AUS,2012,3.73
Australia,AUS,2013,3.72
Australia,AUS,2014,3.77
Australia,AUS,2015,3.79
Australia,AUS,2016,3.82
