Entity,Code,Year,Life expectancy
Australia,AUS,1885,49.05
Australia,AUS,1895,52.95
Australia,AUS,1905,57
Australia,AUS,1921,60.97
Australia,AUS,1922,62.83
Australia,AUS,1923,61.68
Australia,AUS,1924,62.48
Australia,AUS,1925,63.17
Australia,AUS,1926,62.88
Australia,AUS,1927,62.84
Australia,AUS,1928,62.91
Australia,AUS,1929,63.08
Australia,AUS,1930,64.9
Australia,AUS,1931,65.32
Australia,AUS,1932,65.6
Australia,AUS,1933,65.43
Australia,AUS,1934,64.79
Australia,AUS,1935,65.05
Australia,AUS,1936,65.19
Australia,AUS,1937,65.74
Australia,AUS,1938,65.76
Australia,AUS,1939,65.73
Australia,AUS,1940,66.16
Australia,AUS,1941,66.04
Australia,AUS,1942,65.79
Australia,AUS,1943,66.33
Australia,AUS,1944,67.96
Australia,AUS,1945,68.38
Australia,AUS,1946,67.92
Australia,AUS,1947,68.52
Australia,AUS,1948,68.47
Australia,AUS,1949,69.09
Australia,AUS,1950,69
Australia,AUS,1951,68.6995
Australia,AUS,1952,69.1125
Australia,AUS,1953,69.6911
Australia,AUS,1954,69.8595
Australia,AUS,1955,70.1564
Australia,AUS,1956,70.0366
Australia,AUS,1957,70.3168
Australia,AUS,1958,70.8606
Australia,AUS,1959,70.445
Australia,AUS,1960,70.8652
Australia,AUS,1961,71.1348
Australia,AUS,1962,70.9059
Australia,AUS,1963,70.9606
Australia,AUS,1964,70.5715
Australia,AUS,1965,70.8021
Australia,AUS,1966,70.6776
Australia,AUS,1967,71.0472
Australia,AUS,1968,70.6807
Australia,AUS,1969,71.0719
Australia,AUS,1970,70.6534
Australia,AUS,1971,71.451
Australia,AUS,1972,71.7682
Australia,AUS,1973,72.0579
Australia,AUS,1974,71.8491
Australia,AUS,1975,72.7834
Australia,AUS,1976,72.7871
Australia,AUS,1977,73.4719
Australia,AUS,1978,73.7403
Australia,AUS,1979,74.327
Australia,AUS,1980,74.5655
Australia,AUS,1981,74.7827
Australia,AUS,1982,74.7192
Australia,AUS,1983,75.4402
Australia,AUS,1984,75.5099
Australia,AUS,1985,75.4303
Australia,AUS,1986,76.0716
Australia,AUS,1987,76.083
Australia,AUS,1988,76.3443
Australia,AUS,1989,76.1973
Australia,AUS,1990,77.0414
Australia,AUS,1991,77.4806
Australia,AUS,1992,77.4731
Australia,AUS,1993,78.006
Australia,AUS,1994,77.8515
Australia,AUS,1995,78.2569
Australia,AUS,1996,78.3436
Australia,AUS,1997,78.6256
Australia,AUS,1998,79.0202
Australia,AUS,1999,79.2769
Australia,AUS,2000,79.6207
Australia,AUS,2001,80.006
Australia,AUS,2002,80.0515
Australia,AUS,2003,80.4396
Australia,AUS,2004,80.7334
Australia,AUS,2005,81.0923
Australia,AUS,2006,81.2581
Australia,AUS,2007,81.2324
Australia,AUS,2008,81.4267
Australia,AUS,2009,81.7283
Australia,AUS,2010,82.0132
Australia,AUS,2011,82.0911
Australia,AUS,2012,82.2966
Australia,AUS,2013,82.5511
Australia,AUS,2014,82.5182
Australia,AUS,2015,82.605
Australia,AUS,2016,82.8014
Australia,AUS,2017,82.7184
Australia,AUS,2018,83.2582
Australia,AUS,2019,83.2412
Australia,AUS,2020,83.6639
Australia,AUS,2021,83.564
Australia,AUS,2022,82.7662
Australia,AUS,2023,83.9228
Indonesia,IDN,1927,30
Indonesia,IDN,1932,32.5
Indonesia,IDN,1937,35
Indonesia,IDN,1942,27.5
Indonesia,IDN,1947,27.5
Indonesia,IDN,1950,40.2067
