Entity,Code,Year,"Physicians (per 1,000 people)"
Australia,AUS,1961,1.1
Australia,AUS,1966,1.2
Australia,AUS,1971,1.2
Australia,AUS,1976,1.5
Australia,AUS,1981,1.8
Australia,AUS,1984,1.8
Australia,AUS,1985,1.9
Australia,AUS,1986,2
Australia,AUS,1987,2.1
Australia,AUS,1988,2.1
Australia,AUS,1989,2.1
Australia,AUS,1990,2.16
Australia,AUS,1991,2.325
Australia,AUS,1992,2.363
Australia,AUS,1993,2.387
Australia,AUS,1994,2.425
Australia,AUS,1995,2.464
Australia,AUS,1996,2.39
Australia,AUS,1997,2.388
Australia,AUS,1998,2.389
Australia,AUS,1999,2.433
Australia,AUS,2000,2.476
Australia,AUS,2001,2.551
Australia,AUS,2002,2.546
Australia,AUS,2003,2.615
Australia,AUS,2004,2.692
Australia,AUS,2005,2.764
Australia,AUS,2006,2.825
Australia,AUS,2007,2.99
Australia,AUS,2008,3
Australia,AUS,2009,3.104
Australia,AUS,2010,3.345
Australia,AUS,2011,3.296
Australia,AUS,2012,3.293
Australia,AUS,2013,3.356
Australia,AUS,2014,3.432
Australia,AUS,2015,3.486
Australia,AUS,2016,3.557
Australia,AUS,2017,3.656
Australia,AUS,2018,3.726
Australia,AUS,2019,3.808
Australia,AUS,2020,3.895
Australia,AUS,2021,3.976
Australia,AUS,2022,4.086
