Entity,Code,Year,Domestic general government health expenditure (% of current health expenditure)
Australia,AUS,2000,71.83633
Australia,AUS,2001,71.10848
Australia,AUS,2002,71.93769
Australia,AUS,2003,71.341255
Australia,AUS,2004,71.6871
Australia,AUS,2005,71.83749
Australia,AUS,2006,71.66631
Australia,AUS,2007,72.9062
Australia,AUS,2008,72.32992
Australia,AUS,2009,73.010544
Australia,AUS,2010,72.35728
Australia,AUS,2011,73.2603
Australia,AUS,2012,71.23466
Australia,AUS,2013,67.72799
Australia,AUS,2014,70.11462
Australia,AUS,2015,71.26315
Australia,AUS,2016,71.40472
Australia,AUS,2017,71.52568
Australia,AUS,2018,71.273895
Australia,AUS,2019,73.50791
Australia,AUS,2020,73.36905
Australia,AUS,2021,75.48329
Australia,AUS,2022,74.28853
Australia,AUS,2023,73.66084
Indonesia,IDN,2000,29.668106
Indonesia,IDN,2001,36.45112
Indonesia,IDN,2002,34.042282
Indonesia,IDN,2003,36.37523
Indonesia,IDN,2004,35.342175
Indonesia,IDN,2005,28.916327
Indonesia,IDN,2006,31.717958
Indonesia,IDN,2007,36.0746
Indonesia,IDN,2008,35.234085
Indonesia,IDN,2009,35.13376
Indonesia,IDN,2010,23.687553
Indonesia,IDN,2011,23.479725
Indonesia,IDN,2012,26.327309
Indonesia,IDN,2013,28.468775
Indonesia,IDN,2014,33.488354
Indonesia,IDN,2015,39.599342
Indonesia,IDN,2016,45.52692
Indonesia,IDN,2017,46.479507
Indonesia,IDN,2018,48.677105
Indonesia,IDN,2019,48.56189
Indonesia,IDN,2020,55.172062
Indonesia,IDN,2021,59.411877
Indonesia,IDN,2022,51.76071
Indonesia,IDN,2023,53.612694
Malaysia,MYS,2000,46.657085
Malaysia,MYS,2001,50.512867
Malaysia,MYS,2002,51.213776
Malaysia,MYS,2003,51.94099
Malaysia,MYS,2004,50.936718
Malaysia,MYS,2005,48.8999
Malaysia,MYS,2006,53.872383
Malaysia,MYS,2007,52.917267
Malaysia,MYS,2008,53.120975
Malaysia,MYS,2009,55.554413
Malaysia,MYS,2010,53.056625
